filename,label,height,width,ink_ratio,num_components,avg_component_area,max_component_area,edge_density,local_variance
Scan (5)_page_0057.png,cursive,3300,2550,0.1885133689839572,692,10.06638375265232,602.0,0.022664765300059418,7.942828233353794e-05
Scan (5)_page_0058.png,cursive,3300,2550,0.19460308972073678,618,6.559260381933919,596.0,0.023678906714200833,8.071910997387022e-05
Scan (5)_page_0059.png,cursive,3300,2550,0.17836945929887107,454,3.848135798726887,426.0,0.02569162210338681,9.033519745571539e-05
Scan (5)_page_0060.png,cursive,3300,2550,0.1800732026143791,537,5.32434070930585,522.0,0.02148389780154486,7.757120329188183e-05
Scan (5)_page_0061.png,cursive,3300,2550,0.15982756981580512,391,2.3731433767808428,365.0,0.015916221033868094,6.320513784885406e-05
Scan (5)_page_0062.png,cursive,3300,2550,0.10649423648247178,396,0.0,0.0,0.017760427807486632,6.867597403470427e-05
Scan (5)_page_0063.png,cursive,3300,2550,0.17785811051693404,528,4.9496817217338585,490.0,0.021144385026737968,7.882911449996755e-05
Scan (5)_page_0064.png,cursive,3300,2550,0.17710089126559714,362,1.737496210973022,339.0,0.01664622697563874,6.505652709165588e-05
Scan (5)_page_0065.png,cursive,3300,2550,0.0841357100415924,286,0.0,0.0,0.01456934046345811,6.2190716562327e-05
Scan (5)_page_0066.png,cursive,3300,2550,0.09967914438502674,361,0.0,0.0,0.018314081996434937,7.185441791079938e-05
Scan (6)_page_0067.png,print,3300,2550,0.07543434343434344,144,0.0,0.0,0.023295187165775402,0.00010180151730310172
Scan (6)_page_0068.png,print,3300,2550,0.07425502079619727,190,0.0,0.0,0.024818894830659535,0.00011249380622757599
Scan (6)_page_0069.png,cursive,3300,2550,0.07374818775995247,245,0.0,0.0,0.025629827688651217,0.00011322199861751869
Scan (6)_page_0070.png,cursive,3300,2550,0.0571281045751634,314,0.0,0.0,0.01795959595959596,8.888083539204672e-05
Scan (6)_page_0071.png,cursive,3300,2550,0.05353131313131313,221,0.0,0.0,0.018142840166369578,8.244570199167356e-05
Scan (6)_page_0072.png,cursive,3300,2550,0.07841794414735591,261,0.0,0.0,0.022817944147355912,0.00011183619062649086
Scan (6)_page_0073.png,cursive,3300,2550,0.06904444444444445,284,0.0,0.0,0.022793226381461675,0.00011044278653571382
Scan (6)_page_0074.png,textures,3300,2550,0.04911039809863339,400,0.0,0.0,0.016394058229352346,8.046098082559183e-05
Scan (6)_page_0075.png,print,3300,2550,0.04822792632204397,247,0.0,0.0,0.015619370172311348,7.388062658719718e-05
Scan (6)_page_0076.png,cursive,3300,2550,0.06605454545454545,292,0.0,0.0,0.012768508615567439,6.704741099383682e-05
Scan (6)_page_0077.png,cursive,3300,2550,0.09378906714200831,330,0.0,0.0,0.024255377302436126,0.00010414246207801625
Scan (6)_page_0078.png,cursive,3300,2550,0.06172299465240642,269,0.0,0.0,0.02068009506833036,0.00010384987399447709
Scan (6)_page_0079.png,cursive,3300,2550,0.06279916815210933,303,0.0,0.0,0.021014973262032086,9.691037848824635e-05
Scan (6)_page_0080.png,cursive,3300,2550,0.08708983957219252,240,0.0,0.0,0.02033285799168152,9.881716687232256e-05
Scan (6)_page_0081.png,cursive,3300,2550,0.08721224004753417,236,0.0,0.0,0.018107783719548427,8.218536095228046e-05
Scan (6)_page_0082.png,cursive,3300,2550,0.07760629827688652,259,0.0,0.0,0.016308377896613192,7.94724837760441e-05
Scan (6)_page_0083.png,cursive,3300,2550,0.09649506833036245,269,0.0,0.0,0.022041354723707666,0.0001052510560839437
Scan (6)_page_0084.png,cursive,3300,2550,0.08805525846702317,267,0.0,0.0,0.018085680332739155,8.900921966414899e-05
Scan (6)_page_0085.png,cursive,3300,2550,0.17262186571598337,275,0.6189754471051834,220.0,0.017127272727272727,8.277469169115648e-05
Scan (6)_page_0086.png,cursive,3300,2550,0.2178293523469994,329,0.5786602000606245,1.0,0.013320974450386215,6.258857320062816e-05
Scan (6)_page_0087.png,print,3300,2550,0.04931277480689245,224,0.0,0.0,0.01688781937017231,7.748639472993091e-05
Scan (6)_page_0088.png,cursive,3300,2550,0.06275175282234106,264,0.0,0.0,0.016447058823529412,7.882750651333481e-05
Scan (6)_page_0089.png,textures,3300,2550,0.08245870469399881,176,0.0,0.0,0.013127985739750445,6.628630944760516e-05
Scan (6)_page_0090.png,cursive,3300,2550,0.057394295900178256,337,0.0,0.0,0.016591800356506238,7.7045478974469e-05
Scan (6)_page_0091.png,print,3300,2550,0.04659762329174094,215,0.0,0.0,0.01361283422459893,6.575512088602409e-05
Scan (7)_page_0092.png,textures,3300,2550,0.08443363042186572,11,0.08790542588663232,1.0,0.0003803921568627451,6.459259566327091e-06
Scan (7)_page_0093.png,cursive,3300,2550,0.40996696375519903,441,1.0,1.0,0.022244919786096256,9.718856745166704e-05
Scan (7)_page_0094.png,textures,3300,2550,0.09689542483660131,199,0.0,0.0,0.0237921568627451,0.00010844419011846185
Scan (7)_page_0095.png,cursive,3300,2550,0.0952486036838978,284,0.0,0.0,0.025195008912655973,0.0001061756192939356
Scan (7)_page_0096.png,cursive,3300,2550,0.07748900772430184,250,0.0,0.0,0.017453000594177065,8.45111208036542e-05
Scan (7)_page_0097.png,cursive,3300,2550,0.07350576351752823,221,0.0,0.0,0.01744313725490196,7.506690599257126e-05
Scan (7)_page_0098.png,cursive,3300,2550,0.10315971479500892,235,0.0,0.0,0.022401782531194295,0.00010800141171785071
Scan (7)_page_0099.png,cursive,3300,2550,0.09919370172311348,355,0.0,0.0,0.021204159239453357,9.615720773581415e-05
Scan (7)_page_0100.png,cursive,3300,2550,0.06642364824717766,362,0.0,0.0,0.01582293523469994,7.314898539334536e-05
Scan (7)_page_0101.png,cursive,3300,2550,0.07515805109922757,337,0.0,0.0,0.015843374925727866,7.483068475266919e-05
Scan (8)_page_0102.png,print,3300,2550,0.07079726678550208,164,25.89542285541073,158.0,0.00936934046345811,0.00011457103391876444
Scan (8)_page_0103.png,textures,3300,2550,0.04478181818181818,1566,155.89178538951197,1559.0,0.02559251336898396,0.00018104628543369472
Scan (8)_page_0104.png,cursive,3300,2550,0.055235769459298874,1146,71.80175810851773,657.0,0.01678918597742127,0.00012900026922579855
Scan (8)_page_0105.png,textures,3300,2550,0.04076743909685086,1124,167.8657168839042,1118.0,0.01909162210338681,0.00014217570424079895
Scan (8)_page_0106.png,cursive,3300,2550,0.0630795008912656,1232,367.9263413155502,1232.0,0.018378966131907308,0.00014606684271711856
Scan (8)_page_0107.png,cursive,3300,2550,0.08772501485442662,322,18.738102455289482,244.0,0.02526535947712418,0.0003414170059841126
Scan (8)_page_0108.png,textures,3300,2550,0.04002994652406417,311,5.028493482873598,306.0,0.016764349376114082,0.0001442896609660238
Scan (8)_page_0109.png,textures,3300,2550,0.04338169934640523,266,19.569869657471962,263.0,0.01728853238265003,0.00014130760973785073
Scan (8)_page_0110.png,cursive,3300,2550,0.2345007724301842,370,70.39527129433162,352.0,0.010345811051693405,6.512663094326854e-05
Scan (8)_page_0111.png,textures,3300,2550,0.35171883541295307,151,0.0,0.0,0.0011067142008318479,1.9350269212736748e-05
Scan (8)_page_0112.png,textures,3300,2550,0.3056237670825906,74,0.0,0.0,0.000839453357100416,1.2352988960628863e-05
